lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
lastName = "unassigned", firstName = "", gender = "", isCovidPositive = 0, date = 1-1-2021
